//  posX    posY    platType
    680     220     6
    1164    220     6
    1530    220     7
    1594    220     7
    1658    210     8
    1810    220     7
    1874    220     7
    1938    210     8
    2110    220     7
    2352    200     7
    2595    170     7
    2659    170     7
    3117    120     6
    3030    230     6
    2800    240     8
    2864    240     8
    2928    240     8
    2992    240     8
    3554    240     8
    3618    250     8
    3682    260     8
    3746    270     8
    3810    270     7
    3874    270     7
    3945    270     9
    4180    270     10
